(('charizard', 'poliwrath'), ('switch', 'lapras')): -32.66753326239895
(('venusaur', 'machamp'), ('move', 'sludgebomb')): -29.986559495822654
(('venusaur', 'machamp'), ('switch', 'charizard')): -23.570434554905702
(('charizard', 'machamp'), ('move', 'blastburn')): -29.31084215013399
(('lapras', 'golbat'), ('move', 'brine')): -32.33332869734357
(('lapras', 'machamp'), ('move', 'bodyslam')): -35.014495794528784
(('lapras', 'arcanine'), ('move', 'blizzard')): -32.60783232460498
(('lapras', 'arbok'), ('move', 'brine')): -33.91216786992463
(('charizard', 'poliwrath'), ('move', 'blastburn')): -33.60167308716416
(('charizard', 'poliwrath'), ('move', 'recharge')): -26.015386928617865
(('charizard', 'poliwrath'), ('switch', 'venusaur')): -22.71204196223454
(('venusaur', 'arcanine'), ('move', 'sleeppowder')): -46.494741676482604
(('venusaur', 'golbat'), ('move', 'sludgebomb')): -28.171860321381036
(('venusaur', 'arcanine'), ('move', 'frenzyplant')): -40.85046585778765
(('venusaur', 'golbat'), ('move', 'recharge')): -41.41392811069442
(('venusaur', 'pidgeot'), ('move', 'sludgebomb')): -35.20965146655256
(('venusaur', 'machamp'), ('move', 'gigadrain')): -28.93166722818045
(('venusaur', 'machamp'), ('switch', 'lapras')): -29.647774407506493
(('lapras', 'machamp'), ('switch', 'pikachu')): -31.946536160777015
(('pikachu', 'pidgeot'), ('move', 'volttackle')): -34.21078499414676
(('pikachu', 'machamp'), ('move', 'volttackle')): -30.30276215082044
(('lapras', 'nidoqueen'), ('switch', 'pikachu')): -30.56906390629218
(('venusaur', 'golbat'), ('move', 'gigadrain')): -36.322390190522775
(('venusaur', 'arcanine'), ('switch', 'snorlax')): -41.825632943768426
(('snorlax', 'arcanine'), ('move', 'blizzard')): -45.770139832105286
(('snorlax', 'arcanine'), ('switch', 'blastoise')): -40.32143057006671
(('blastoise', 'golbat'), ('move', 'focusblast')): -31.44452311281205
(('venusaur', 'arcanine'), ('switch', 'blastoise')): -29.145561348084982
(('blastoise', 'arcanine'), ('switch', 'venusaur')): -36.996852849757786
(('blastoise', 'arcanine'), ('switch', 'pikachu')): -35.63429070079613
(('pikachu', 'arcanine'), ('move', 'irontail')): -42.64168373214234
(('pikachu', 'arcanine'), ('switch', 'charizard')): -35.78571136983797
(('charizard', 'golbat'), ('move', 'airslash')): -36.295064564000384
(('charizard', 'golbat'), ('move', 'flareblitz')): -34.899298683746494
(('snorlax', 'golem'), ('move', 'crunch')): -42.37655124059065
(('snorlax', 'golem'), ('switch', 'blastoise')): -37.16816559601501
(('blastoise', 'arbok'), ('move', 'recharge')): -27.169091637518935
(('blastoise', 'pidgeot'), ('move', 'hydrocannon')): -34.294492771368006
(('charizard', 'arbok'), ('move', 'flareblitz')): -40.620593391535074
(('charizard', 'golbat'), ('move', 'blastburn')): -33.05153222523766
(('venusaur', 'golbat'), ('switch', 'lapras')): -22.67262011492883
(('lapras', 'poliwrath'), ('move', 'brine')): -38.603884872448546
(('lapras', 'poliwrath'), ('switch', 'blastoise')): -22.874837670641963
(('blastoise', 'poliwrath'), ('move', 'hydrocannon')): -33.292698314688074
(('blastoise', 'poliwrath'), ('move', 'blizzard')): -32.068555475212065
(('blastoise', 'golbat'), ('move', 'hydrocannon')): -35.800922970375034
(('blastoise', 'poliwrath'), ('move', 'flashcannon')): -31.276197212523513
(('blastoise', 'golbat'), ('move', 'blizzard')): -41.15693735650028
(('blastoise', 'golbat'), ('move', 'flashcannon')): -36.53530963030645
(('blastoise', 'poliwrath'), ('switch', 'charizard')): -27.196551195683917
(('pikachu', 'golem'), ('move', 'volttackle')): -30.968769084986615
(('pikachu', 'arbok'), ('move', 'volttackle')): -32.76719100653802
(('pikachu', 'golem'), ('switch', 'blastoise')): -29.551006866771758
(('blastoise', 'ninetales'), ('move', 'blizzard')): -34.127944644032866
(('blastoise', 'arbok'), ('switch', 'snorlax')): -24.279324533054297
(('snorlax', 'arbok'), ('switch', 'venusaur')): -40.98419541741125
(('venusaur', 'arbok'), ('move', 'sleeppowder')): -39.11439608130351
(('snorlax', 'arbok'), ('move', 'shadowball')): -42.61239106572601
(('lapras', 'golbat'), ('move', 'psychic')): -37.69496644758272
(('blastoise', 'golem'), ('switch', 'venusaur')): -31.39751128577623
(('venusaur', 'golem'), ('switch', 'lapras')): -32.11332242025
(('lapras', 'golem'), ('move', 'bodyslam')): -34.187918557613585
(('lapras', 'arcanine'), ('move', 'brine')): -37.618371258873395
(('lapras', 'arcanine'), ('switch', 'charizard')): -38.564503786569915
(('charizard', 'arcanine'), ('move', 'flareblitz')): -47.47871474024481
(('charizard', 'golem'), ('move', 'airslash')): -28.751376937391356
(('charizard', 'golem'), ('switch', 'snorlax')): -39.43321932379617
(('venusaur', 'sandslash'), ('move', 'gigadrain')): -21.442130886655214
(('blastoise', 'alakazam'), ('move', 'blizzard')): -29.37036675416173
(('charizard', 'machamp'), ('switch', 'pikachu')): -30.870512205219182
(('pikachu', 'machamp'), ('move', 'irontail')): -23.79028805396005
(('pikachu', 'golbat'), ('switch', 'charizard')): -27.049768741747105
(('charizard', 'golbat'), ('switch', 'pikachu')): -33.28753212757333
(('pikachu', 'alakazam'), ('move', 'irontail')): -32.720710298708205
(('pikachu', 'alakazam'), ('switch', 'charizard')): -29.681444034143045
(('charizard', 'machamp'), ('move', 'dragonpulse')): -26.850405209880144
(('charizard', 'machamp'), ('switch', 'venusaur')): -31.042899557020405
(('lapras', 'machamp'), ('switch', 'venusaur')): -27.24820791161712
(('lapras', 'ninetales'), ('move', 'brine')): -31.31212962084287
(('lapras', 'machamp'), ('switch', 'snorlax')): -31.801122705600914
(('snorlax', 'golem'), ('move', 'blizzard')): -43.74005139013581
(('lapras', 'ninetales'), ('switch', 'snorlax')): -26.78558844367121
(('snorlax', 'ninetales'), ('switch', 'blastoise')): -35.84468793288434
(('charizard', 'golbat'), ('move', 'dragonpulse')): -36.42952214676029
(('charizard', 'golbat'), ('switch', 'blastoise')): -28.952955847249154
(('snorlax', 'golem'), ('move', 'gigaimpact')): -43.52932731477225
(('snorlax', 'machamp'), ('move', 'recharge')): -33.646661759443724
(('lapras', 'machamp'), ('switch', 'blastoise')): -28.886627907408
(('blastoise', 'machamp'), ('switch', 'snorlax')): -30.588362028598958
(('snorlax', 'machamp'), ('move', 'blizzard')): -33.39899637894134
(('snorlax', 'machamp'), ('switch', 'pikachu')): -36.13232604920979
(('pikachu', 'arbok'), ('move', 'irontail')): -31.921910084984987
(('pikachu', 'poliwrath'), ('move', 'irontail')): -26.613068000310776
(('pikachu', 'ninetales'), ('move', 'thunderbolt')): -31.16370584580351
(('pikachu', 'ninetales'), ('switch', 'blastoise')): -34.289738202712336
(('venusaur', 'arbok'), ('move', 'gigadrain')): -31.708588238524502
(('venusaur', 'arbok'), ('move', 'frenzyplant')): -44.07971658865146
(('venusaur', 'ninetales'), ('move', 'recharge')): -35.51304611991408
(('venusaur', 'ninetales'), ('switch', 'blastoise')): -23.786036708953826
(('blastoise', 'poliwrath'), ('switch', 'venusaur')): -20.58280909626238
(('snorlax', 'nidoqueen'), ('move', 'crunch')): -33.232452570697234
(('snorlax', 'nidoqueen'), ('move', 'blizzard')): -40.039630681101
(('snorlax', 'poliwrath'), ('switch', 'blastoise')): -26.4300897332205
(('snorlax', 'nidoqueen'), ('switch', 'charizard')): -34.22665825238115
(('charizard', 'arbok'), ('move', 'airslash')): -34.02211493194256
(('charizard', 'arcanine'), ('move', 'airslash')): -45.17216240898245
(('charizard', 'arbok'), ('move', 'blastburn')): -34.83869858348992
(('pikachu', 'arbok'), ('move', 'quickattack')): -31.069052738740105
(('lapras', 'arbok'), ('move', 'bodyslam')): -42.094691269033675
(('lapras', 'arbok'), ('switch', 'pikachu')): -34.75238843055684
(('charizard', 'arbok'), ('move', 'dragonpulse')): -28.42821758056347
(('charizard', 'machamp'), ('switch', 'snorlax')): -33.16817423533709
(('charizard', 'arcanine'), ('switch', 'snorlax')): -39.666251945585664
(('snorlax', 'arcanine'), ('move', 'gigaimpact')): -56.04289935564509
(('blastoise', 'arcanine'), ('move', 'hydrocannon')): -37.3423796782354
(('blastoise', 'arcanine'), ('move', 'recharge')): -31.754023639161872
(('pikachu', 'arcanine'), ('move', 'quickattack')): -42.259881597122885
(('lapras', 'nidoking'), ('move', 'blizzard')): -36.007495637224
(('charizard', 'pidgeot'), ('move', 'dragonpulse')): -30.381606051429216
(('venusaur', 'nidoqueen'), ('switch', 'lapras')): -27.368188622317284
(('lapras', 'nidoqueen'), ('move', 'psychic')): -31.784984028832692
(('pikachu', 'pidgeot'), ('move', 'irontail')): -39.650163500986736
(('pikachu', 'arcanine'), ('switch', 'blastoise')): -39.55864238500379
(('snorlax', 'pidgeot'), ('switch', 'venusaur')): -28.748351294256416
(('blastoise', 'alakazam'), ('switch', 'venusaur')): -26.259954443170088
(('charizard', 'arbok'), ('switch', 'venusaur')): -33.451029934285636
(('pikachu', 'arcanine'), ('move', 'thunderbolt')): -34.76360504582837
(('snorlax', 'nidoking'), ('move', 'gigaimpact')): -29.50561775319302
(('snorlax', 'sandslash'), ('move', 'recharge')): -27.29145781315491
(('snorlax', 'sandslash'), ('move', 'blizzard')): -36.880936927700894
(('snorlax', 'arbok'), ('move', 'blizzard')): -42.690069064551054
(('blastoise', 'arcanine'), ('switch', 'charizard')): -40.05727347843713
(('charizard', 'arbok'), ('switch', 'blastoise')): -39.54461466930854
(('snorlax', 'poliwrath'), ('move', 'recharge')): -32.0232256088526
(('venusaur', 'arcanine'), ('switch', 'charizard')): -48.01335100700008
(('snorlax', 'arcanine'), ('switch', 'lapras')): -33.56557321128261
(('lapras', 'poliwrath'), ('move', 'psychic')): -39.67409677271385
(('lapras', 'poliwrath'), ('switch', 'venusaur')): -27.66862032447875
(('lapras', 'nidoqueen'), ('switch', 'venusaur')): -28.376927333440754
(('venusaur', 'nidoqueen'), ('switch', 'snorlax')): -27.10218463530597
(('snorlax', 'nidoqueen'), ('switch', 'venusaur')): -36.52729837437975
(('pikachu', 'machamp'), ('switch', 'venusaur')): -29.978654948739837
(('charizard', 'machamp'), ('switch', 'blastoise')): -25.47002209576825
(('snorlax', 'machamp'), ('move', 'gigaimpact')): -35.41027663113935
(('snorlax', 'ninetales'), ('move', 'recharge')): -27.95778153951815
(('snorlax', 'ninetales'), ('move', 'gigaimpact')): -40.50843947498783
(('snorlax', 'ninetales'), ('switch', 'charizard')): -36.61645985520332
(('snorlax', 'ninetales'), ('switch', 'venusaur')): -32.648876170389826
(('venusaur', 'ninetales'), ('switch', 'snorlax')): -37.880241760682274
(('venusaur', 'alakazam'), ('move', 'sludgebomb')): -40.07029258493968
(('lapras', 'arcanine'), ('move', 'psychic')): -39.02282537206599
(('lapras', 'ninetales'), ('move', 'psychic')): -35.10945878459155
(('lapras', 'nidoking'), ('switch', 'blastoise')): -29.37661801659514
(('snorlax', 'arcanine'), ('move', 'recharge')): -34.840823894133294
(('snorlax', 'arcanine'), ('switch', 'charizard')): -45.886432730164124
(('snorlax', 'arcanine'), ('switch', 'pikachu')): -44.26975140695397
(('pikachu', 'arcanine'), ('switch', 'snorlax')): -37.77319963835615
(('venusaur', 'golem'), ('move', 'frenzyplant')): -40.02032268941544
(('venusaur', 'alakazam'), ('move', 'recharge')): -26.918131416165483
(('blastoise', 'ninetales'), ('switch', 'venusaur')): -30.73375438342455
(('venusaur', 'ninetales'), ('switch', 'charizard')): -30.44186453963327
(('charizard', 'alakazam'), ('move', 'airslash')): -35.7943432631814
(('snorlax', 'sandslash'), ('move', 'gigaimpact')): -38.636705163381556
(('snorlax', 'sandslash'), ('switch', 'pikachu')): -37.31851272365033
(('pikachu', 'sandslash'), ('switch', 'venusaur')): -19.029713793981
(('venusaur', 'sandslash'), ('switch', 'charizard')): -26.71276324785722
(('venusaur', 'arbok'), ('switch', 'charizard')): -36.50923393723108
(('charizard', 'arbok'), ('switch', 'lapras')): -34.89558226023773
(('lapras', 'arbok'), ('switch', 'venusaur')): -31.76145703746087
(('blastoise', 'arbok'), ('switch', 'charizard')): -31.974097501178612
(('snorlax', 'golem'), ('switch', 'lapras')): -29.94538815403474
(('blastoise', 'nidoking'), ('move', 'flashcannon')): -35.76741230504147
(('pikachu', 'arbok'), ('switch', 'lapras')): -28.162355525419557
(('lapras', 'arbok'), ('move', 'psychic')): -34.81188740665635
(('venusaur', 'arcanine'), ('switch', 'lapras')): -41.068664258297694
(('lapras', 'arbok'), ('switch', 'charizard')): -36.98494089679997
(('charizard', 'arbok'), ('switch', 'snorlax')): -31.88437322153373
(('snorlax', 'golem'), ('switch', 'charizard')): -37.91464396767859
(('charizard', 'golem'), ('move', 'blastburn')): -39.530776484508436
(('charizard', 'arbok'), ('move', 'recharge')): -34.122494950667736
(('snorlax', 'nidoking'), ('switch', 'lapras')): -37.73846317005425
(('lapras', 'nidoking'), ('move', 'psychic')): -35.335919235015204
(('lapras', 'golbat'), ('switch', 'blastoise')): -37.74149441998806
(('blastoise', 'golbat'), ('switch', 'charizard')): -32.68468366592035
(('blastoise', 'golem'), ('switch', 'charizard')): -36.05566952944446
(('charizard', 'golem'), ('move', 'dragonpulse')): -35.08901772184785
(('lapras', 'golem'), ('switch', 'venusaur')): -29.231747772382477
(('venusaur', 'golem'), ('switch', 'pikachu')): -31.94979692008962
(('pikachu', 'sandslash'), ('move', 'irontail')): -24.354406641247405
(('snorlax', 'nidoking'), ('switch', 'blastoise')): -39.31652692401332
(('blastoise', 'pidgeot'), ('move', 'flashcannon')): -28.330162158433627
(('blastoise', 'nidoking'), ('move', 'recharge')): -27.32764702806844
(('snorlax', 'nidoking'), ('switch', 'pikachu')): -39.433968779880345
(('pikachu', 'nidoking'), ('switch', 'charizard')): -30.942385625892094
(('charizard', 'nidoking'), ('switch', 'snorlax')): -36.2458507749551
(('lapras', 'ninetales'), ('switch', 'venusaur')): -32.555568351546924
(('snorlax', 'alakazam'), ('move', 'recharge')): -36.98604949840171
(('snorlax', 'sandslash'), ('switch', 'blastoise')): -22.838437957693635
(('snorlax', 'arbok'), ('switch', 'charizard')): -31.849067508615207
(('charizard', 'arbok'), ('switch', 'pikachu')): -38.68595259820837
(('pikachu', 'alakazam'), ('switch', 'blastoise')): -23.29405567975837
(('venusaur', 'golbat'), ('move', 'sleeppowder')): -36.61552337283247
(('lapras', 'golbat'), ('switch', 'charizard')): -29.427431371128367
(('charizard', 'golbat'), ('switch', 'venusaur')): -30.242242091428785
(('venusaur', 'golbat'), ('switch', 'blastoise')): -31.266815773277557
(('snorlax', 'poliwrath'), ('switch', 'pikachu')): -36.433086725281036
(('pikachu', 'poliwrath'), ('move', 'quickattack')): -27.758822766763252
(('pikachu', 'poliwrath'), ('switch', 'blastoise')): -20.33421506563063
(('blastoise', 'alakazam'), ('move', 'flashcannon')): -34.68768043227958
(('charizard', 'arcanine'), ('move', 'blastburn')): -53.49832473671213
(('lapras', 'pidgeot'), ('switch', 'snorlax')): -28.85760718524828
(('snorlax', 'machamp'), ('switch', 'blastoise')): -33.90042329884847
(('charizard', 'sandslash'), ('move', 'blastburn')): -29.992153196970325
(('snorlax', 'machamp'), ('switch', 'charizard')): -33.22864080995828
(('snorlax', 'machamp'), ('switch', 'venusaur')): -27.167927669958715
(('lapras', 'arcanine'), ('switch', 'pikachu')): -38.584331866164206
(('pikachu', 'arcanine'), ('switch', 'lapras')): -23.909505927853427
(('venusaur', 'sandslash'), ('move', 'sleeppowder')): -28.095541111211254
(('snorlax', 'golem'), ('switch', 'pikachu')): -35.111086240753146
(('snorlax', 'poliwrath'), ('move', 'blizzard')): -40.233861455536186
(('lapras', 'arcanine'), ('switch', 'blastoise')): -34.255806382484565
(('blastoise', 'golem'), ('switch', 'pikachu')): -25.643743339116707
(('blastoise', 'ninetales'), ('move', 'flashcannon')): -33.28468086739887
(('snorlax', 'golem'), ('switch', 'venusaur')): -41.349487413042745
(('venusaur', 'golem'), ('switch', 'snorlax')): -30.583675739927678
(('snorlax', 'golem'), ('move', 'recharge')): -40.63030944661319
(('lapras', 'golem'), ('switch', 'snorlax')): -30.91182289800307
(('snorlax', 'arbok'), ('move', 'recharge')): -36.547260117475425
(('charizard', 'arcanine'), ('switch', 'pikachu')): -41.62332531262767
(('pikachu', 'alakazam'), ('move', 'quickattack')): -29.586828494943692
(('pikachu', 'golbat'), ('switch', 'lapras')): -21.20946275412534
