(('charizard', 'ninetales'), ('move', 'flareblitz')): -0.8606142292942363
(('venusaur', 'sandslash'), ('switch', 'snorlax')): 1.4547399437498232
(('snorlax', 'poliwrath'), ('switch', 'venusaur')): -3.3367167143461303
(('venusaur', 'ninetales'), ('move', 'sludgebomb')): -1.304460292138429
(('venusaur', 'poliwrath'), ('move', 'sludgebomb')): 0.26166369053493055
(('venusaur', 'nidoqueen'), ('move', 'sludgebomb')): -1.2130355649368851
(('venusaur', 'sandslash'), ('move', 'sludgebomb')): -0.8674169597759871
(('snorlax', 'ninetales'), ('move', 'shadowball')): -3.563989076487527
(('snorlax', 'machamp'), ('move', 'crunch')): -1.920855557830888
(('snorlax', 'nidoqueen'), ('move', 'shadowball')): -2.9040358584844186
(('snorlax', 'ninetales'), ('move', 'gigaimpact')): -3.383029853267832
(('snorlax', 'machamp'), ('move', 'recharge')): -2.716553898103768
(('snorlax', 'machamp'), ('switch', 'venusaur')): -3.4387115410992077
(('venusaur', 'machamp'), ('move', 'gigadrain')): 0.9720729760891438
(('charizard', 'nidoqueen'), ('move', 'flareblitz')): -2.4088202088866013
(('charizard', 'nidoking'), ('move', 'flareblitz')): -0.8800570729289565
(('charizard', 'ninetales'), ('switch', 'pikachu')): -1.8235067510786813
(('pikachu', 'ninetales'), ('move', 'volttackle')): -1.4760428986161347
(('pikachu', 'ninetales'), ('switch', 'snorlax')): 1.6192735262982092
(('snorlax', 'ninetales'), ('move', 'crunch')): -2.2966344973133146
(('lapras', 'nidoking'), ('move', 'brine')): -2.091510693768936
(('lapras', 'nidoking'), ('move', 'psychic')): -0.9792062966011255
(('lapras', 'nidoking'), ('switch', 'blastoise')): -0.7433321687176769
(('blastoise', 'alakazam'), ('move', 'focusblast')): -1.0574540921740825
(('snorlax', 'sandslash'), ('move', 'shadowball')): -1.6244204590298983
(('snorlax', 'pidgeot'), ('move', 'blizzard')): -1.1198654999596067
(('snorlax', 'nidoking'), ('switch', 'charizard')): -2.68405010944344
(('charizard', 'pidgeot'), ('move', 'flareblitz')): -0.191429882615136
(('charizard', 'sandslash'), ('move', 'flareblitz')): -1.1512622576511684
(('lapras', 'poliwrath'), ('move', 'brine')): -0.7905444821284977
(('lapras', 'nidoqueen'), ('move', 'psychic')): -0.31145438945573123
(('lapras', 'poliwrath'), ('move', 'psychic')): -1.4749947348857868
(('lapras', 'poliwrath'), ('switch', 'venusaur')): -0.5101957752107191
(('venusaur', 'poliwrath'), ('switch', 'blastoise')): 0.1882958147367642
(('snorlax', 'machamp'), ('move', 'gigaimpact')): -4.215332384734926
(('snorlax', 'ninetales'), ('move', 'recharge')): -2.872900309629419
(('pikachu', 'machamp'), ('move', 'volttackle')): -0.9575127220801447
(('pikachu', 'machamp'), ('switch', 'charizard')): 3.23733181497388
(('charizard', 'machamp'), ('move', 'flareblitz')): -0.44975378878790206
(('charizard', 'nidoqueen'), ('move', 'airslash')): -1.4253839230439111
(('charizard', 'pidgeot'), ('move', 'airslash')): -0.021320408172252725
(('charizard', 'golem'), ('move', 'airslash')): 0.7690398906043328
(('charizard', 'golem'), ('switch', 'venusaur')): 0.757360083629864
(('venusaur', 'golem'), ('move', 'sludgebomb')): -0.3096682919801373
(('venusaur', 'golem'), ('switch', 'snorlax')): -0.07254357870816774
(('snorlax', 'nidoqueen'), ('move', 'crunch')): -2.567927165566595
(('snorlax', 'ninetales'), ('move', 'blizzard')): -3.943380257365023
(('snorlax', 'ninetales'), ('switch', 'blastoise')): -2.3733773922296075
(('snorlax', 'golbat'), ('move', 'shadowball')): -3.7834159134669676
(('snorlax', 'golem'), ('switch', 'charizard')): -2.369336598749559
(('charizard', 'sandslash'), ('move', 'airslash')): -0.7056805408569886
(('charizard', 'golbat'), ('move', 'flareblitz')): -0.6406291826786261
(('lapras', 'golem'), ('switch', 'pikachu')): -0.05365938921722391
(('pikachu', 'golem'), ('move', 'irontail')): -1.547360458729119
(('snorlax', 'golem'), ('move', 'crunch')): -2.5506127008164974
(('venusaur', 'sandslash'), ('move', 'gigadrain')): 2.023151821903732
(('venusaur', 'poliwrath'), ('move', 'gigadrain')): -0.36905119834666544
(('venusaur', 'nidoking'), ('move', 'sludgebomb')): 0.7675802155620164
(('venusaur', 'nidoking'), ('switch', 'snorlax')): -1.3912832461853462
(('charizard', 'machamp'), ('move', 'airslash')): -0.07014298961384624
(('charizard', 'nidoking'), ('move', 'airslash')): 0.15172959524934315
(('lapras', 'nidoqueen'), ('move', 'blizzard')): -1.3393155064117983
(('venusaur', 'poliwrath'), ('move', 'sleeppowder')): 0.10589774780858405
(('venusaur', 'pidgeot'), ('move', 'sludgebomb')): -0.7971772852245881
(('venusaur', 'golbat'), ('move', 'sludgebomb')): -1.1713527459546562
(('venusaur', 'golbat'), ('switch', 'snorlax')): 0.3697567724285106
(('snorlax', 'golbat'), ('move', 'crunch')): -0.6995779030269387
(('snorlax', 'golbat'), ('move', 'blizzard')): -3.0881280034831113
(('snorlax', 'nidoqueen'), ('move', 'blizzard')): -3.7189601470401716
(('snorlax', 'golbat'), ('switch', 'blastoise')): -3.4116343320386706
(('blastoise', 'ninetales'), ('move', 'focusblast')): 0.5108148366499267
(('blastoise', 'ninetales'), ('move', 'flashcannon')): -1.4557135911501273
(('lapras', 'machamp'), ('switch', 'pikachu')): -0.6743854734216117
(('pikachu', 'nidoqueen'), ('move', 'volttackle')): -0.6430294415788202
(('pikachu', 'pidgeot'), ('move', 'volttackle')): -2.3159720037576244
(('pikachu', 'nidoqueen'), ('move', 'irontail')): -1.465370141525923
(('lapras', 'nidoqueen'), ('switch', 'charizard')): -1.1021147180557498
(('charizard', 'nidoqueen'), ('move', 'blastburn')): -1.4078347293036049
(('charizard', 'pidgeot'), ('move', 'recharge')): -0.6239956761488595
(('charizard', 'nidoqueen'), ('move', 'dragonpulse')): -1.4798263235553897
(('charizard', 'pidgeot'), ('move', 'blastburn')): -0.9275024583528668
(('charizard', 'nidoqueen'), ('move', 'recharge')): -1.9404455268724348
(('pikachu', 'nidoking'), ('move', 'volttackle')): -1.2942846541795672
(('pikachu', 'nidoking'), ('move', 'irontail')): -0.5240791906006658
(('blastoise', 'ninetales'), ('move', 'hydrocannon')): -1.481995841980173
(('blastoise', 'ninetales'), ('move', 'recharge')): -1.1849510043705722
(('charizard', 'poliwrath'), ('move', 'flareblitz')): -0.5552312224147415
(('pikachu', 'nidoking'), ('move', 'quickattack')): 0.24490958637927152
(('pikachu', 'nidoking'), ('switch', 'lapras')): 1.1279058577936343
(('lapras', 'nidoking'), ('move', 'bodyslam')): -2.7951430982621077
(('lapras', 'golem'), ('move', 'brine')): 0.2573909048543541
(('snorlax', 'golem'), ('move', 'blizzard')): -3.2480722064310243
(('snorlax', 'ninetales'), ('switch', 'lapras')): -1.4745512340576012
(('venusaur', 'ninetales'), ('switch', 'snorlax')): 1.2316665465275027
(('lapras', 'ninetales'), ('move', 'brine')): -1.0288790729668968
(('lapras', 'poliwrath'), ('move', 'bodyslam')): 0.0902187976330111
(('charizard', 'poliwrath'), ('move', 'airslash')): 2.554279211093842
(('charizard', 'golbat'), ('move', 'airslash')): 0.3368507588138711
(('charizard', 'poliwrath'), ('move', 'blastburn')): -0.4401885429853354
(('charizard', 'sandslash'), ('move', 'recharge')): -0.19875783768166388
(('charizard', 'sandslash'), ('switch', 'snorlax')): -2.0253940382697655
(('snorlax', 'sandslash'), ('switch', 'blastoise')): 0.02094287158112551
(('blastoise', 'sandslash'), ('move', 'focusblast')): -0.33929348542185933
(('blastoise', 'ninetales'), ('move', 'blizzard')): -1.3676569006257755
(('blastoise', 'ninetales'), ('switch', 'pikachu')): -0.5840738442884696
(('pikachu', 'ninetales'), ('move', 'irontail')): -1.1409719000086138
(('pikachu', 'ninetales'), ('switch', 'blastoise')): 3.1607859781384944
(('blastoise', 'ninetales'), ('switch', 'lapras')): 0.2856856113066397
(('lapras', 'ninetales'), ('switch', 'blastoise')): -1.2099632807581047
(('blastoise', 'sandslash'), ('move', 'hydrocannon')): -1.7190004229722462
(('blastoise', 'golem'), ('move', 'focusblast')): -1.8177674668304498
(('snorlax', 'machamp'), ('switch', 'lapras')): 0.8761801911737306
(('charizard', 'poliwrath'), ('move', 'dragonpulse')): -1.0278599997313425
(('charizard', 'nidoqueen'), ('switch', 'snorlax')): 1.0545129648207474
(('snorlax', 'golem'), ('move', 'gigaimpact')): -2.962730253148865
(('snorlax', 'golem'), ('switch', 'venusaur')): -3.037025606565306
(('venusaur', 'golem'), ('move', 'gigadrain')): -1.1813828598914338
(('venusaur', 'nidoking'), ('move', 'gigadrain')): -1.7112331324719283
(('venusaur', 'nidoking'), ('switch', 'charizard')): -0.32965624457049747
(('charizard', 'nidoking'), ('switch', 'lapras')): -1.113052037470656
(('lapras', 'poliwrath'), ('switch', 'blastoise')): -2.5249347143106036
(('blastoise', 'poliwrath'), ('switch', 'pikachu')): 1.2514591231137702
(('venusaur', 'arcanine'), ('move', 'sludgebomb')): 0.5771887335414927
(('venusaur', 'arcanine'), ('switch', 'blastoise')): 0.09854649202425658
(('blastoise', 'arcanine'), ('switch', 'charizard')): -0.0676643191177304
(('charizard', 'poliwrath'), ('switch', 'pikachu')): 0.3046597452291963
(('pikachu', 'arbok'), ('move', 'volttackle')): -1.4106288462289922
(('pikachu', 'arbok'), ('switch', 'charizard')): 4.815062551479757
(('charizard', 'arbok'), ('move', 'flareblitz')): -0.8243444651840937
(('snorlax', 'golem'), ('move', 'recharge')): -4.235965069066622
(('lapras', 'sandslash'), ('move', 'brine')): -2.011833439245359
(('lapras', 'arcanine'), ('switch', 'blastoise')): -1.5974307438522453
(('snorlax', 'arcanine'), ('switch', 'charizard')): -2.635195072402692
(('charizard', 'pidgeot'), ('move', 'dragonpulse')): -0.20728576080650238
(('snorlax', 'arcanine'), ('move', 'gigaimpact')): -1.7274791856328626
(('snorlax', 'machamp'), ('switch', 'pikachu')): -4.2029326163731096
(('charizard', 'poliwrath'), ('switch', 'lapras')): 0.7073314401298957
(('pikachu', 'golem'), ('switch', 'charizard')): 3.353036397476247
(('venusaur', 'golem'), ('switch', 'charizard')): 1.5864652784524589
(('lapras', 'poliwrath'), ('switch', 'charizard')): -0.6674101927176115
(('charizard', 'poliwrath'), ('switch', 'blastoise')): 3.6061496939780358
(('blastoise', 'poliwrath'), ('switch', 'charizard')): 0.32501397336361587
(('blastoise', 'nidoqueen'), ('move', 'recharge')): -1.2952793646319205
(('blastoise', 'nidoking'), ('move', 'hydrocannon')): -1.909616154383317
(('blastoise', 'golem'), ('move', 'recharge')): -1.840099673900176
(('pikachu', 'golem'), ('switch', 'lapras')): -0.5086376271241679
(('blastoise', 'golbat'), ('move', 'recharge')): -1.5635602528335786
(('charizard', 'arcanine'), ('switch', 'snorlax')): 0.8656836878622847
(('snorlax', 'arcanine'), ('switch', 'blastoise')): -3.1029296490389804
(('blastoise', 'arcanine'), ('switch', 'snorlax')): 0.4451288329531483
(('snorlax', 'arcanine'), ('switch', 'lapras')): -2.378458114129182
(('lapras', 'golbat'), ('switch', 'snorlax')): -2.1556926906849556
(('snorlax', 'golbat'), ('move', 'gigaimpact')): -4.098702546605324
(('snorlax', 'arcanine'), ('switch', 'venusaur')): -0.3261677422024776
(('venusaur', 'arcanine'), ('switch', 'snorlax')): -0.1615384164968421
(('lapras', 'golem'), ('move', 'psychic')): -3.519073730858149
(('blastoise', 'pidgeot'), ('switch', 'venusaur')): -0.30060739060312236
(('venusaur', 'pidgeot'), ('move', 'gigadrain')): -0.26368026687873836
(('snorlax', 'ninetales'), ('switch', 'venusaur')): -2.6079045836503294
(('snorlax', 'ninetales'), ('switch', 'charizard')): -3.3165716334086777
(('charizard', 'ninetales'), ('move', 'airslash')): -0.10846328797377425
(('charizard', 'poliwrath'), ('switch', 'venusaur')): 0.998660294489775
(('snorlax', 'poliwrath'), ('switch', 'charizard')): -0.31038855076757826
(('venusaur', 'poliwrath'), ('move', 'frenzyplant')): -2.2171151107236216
(('snorlax', 'poliwrath'), ('switch', 'pikachu')): -4.2446296001777775
(('snorlax', 'pidgeot'), ('move', 'crunch')): -2.492768132765099
(('pikachu', 'poliwrath'), ('move', 'irontail')): -1.0919295107176006
(('pikachu', 'nidoking'), ('switch', 'venusaur')): 0.5174312816245599
(('charizard', 'nidoking'), ('move', 'blastburn')): -1.6001211738430936
(('charizard', 'poliwrath'), ('move', 'recharge')): -2.7302628187842792
(('lapras', 'pidgeot'), ('move', 'brine')): -0.5243867211328472
(('lapras', 'arcanine'), ('move', 'blizzard')): -2.0753124336962343
(('lapras', 'arcanine'), ('move', 'brine')): -3.379620983509466
(('charizard', 'alakazam'), ('move', 'flareblitz')): -0.2192363313328419
(('snorlax', 'pidgeot'), ('move', 'gigaimpact')): -2.617396190267157
(('snorlax', 'poliwrath'), ('move', 'recharge')): -1.6297678482338274
(('snorlax', 'poliwrath'), ('switch', 'blastoise')): -2.0282137421452378
(('blastoise', 'poliwrath'), ('move', 'hydrocannon')): -1.2098086672669328
(('venusaur', 'nidoqueen'), ('move', 'recharge')): -1.451391689873574
(('lapras', 'pidgeot'), ('switch', 'charizard')): -1.1443239802873069
(('charizard', 'nidoqueen'), ('switch', 'blastoise')): -1.4662774097043165
(('venusaur', 'arbok'), ('move', 'sludgebomb')): 0.5518887165392752
(('venusaur', 'ninetales'), ('move', 'gigadrain')): 1.055060478158405
(('venusaur', 'poliwrath'), ('switch', 'pikachu')): 0.14114011659611764
(('snorlax', 'arbok'), ('move', 'shadowball')): -3.9023327750202914
(('venusaur', 'nidoking'), ('move', 'sleeppowder')): -2.358244353069167
(('venusaur', 'sandslash'), ('switch', 'charizard')): -0.43832471424591724
(('charizard', 'sandslash'), ('move', 'blastburn')): -1.190570444833195
(('snorlax', 'nidoqueen'), ('switch', 'pikachu')): -5.722488359224107
(('charizard', 'arbok'), ('switch', 'pikachu')): -1.5542731051989347
(('pikachu', 'arbok'), ('move', 'irontail')): -0.4831987453809103
(('blastoise', 'nidoking'), ('switch', 'lapras')): 1.2530313868314717
(('lapras', 'nidoking'), ('switch', 'pikachu')): -0.5986333893854543
(('venusaur', 'nidoking'), ('switch', 'pikachu')): -1.688280711421767
(('venusaur', 'alakazam'), ('move', 'sludgebomb')): -2.066702904663429
(('lapras', 'arbok'), ('switch', 'charizard')): -1.5297163261443893
(('pikachu', 'alakazam'), ('move', 'volttackle')): -2.210903981474146
(('pikachu', 'alakazam'), ('switch', 'venusaur')): 0.9267051113840294
(('snorlax', 'golbat'), ('switch', 'lapras')): -3.087796820282703
(('charizard', 'nidoqueen'), ('switch', 'lapras')): 0.2513695285935899
(('charizard', 'nidoqueen'), ('switch', 'venusaur')): -1.0502540932540694
(('venusaur', 'nidoqueen'), ('switch', 'lapras')): 0.4554968866791099
(('charizard', 'arbok'), ('move', 'airslash')): -1.9217979328752826
(('lapras', 'nidoqueen'), ('switch', 'blastoise')): 0.5404633704320276
(('blastoise', 'arbok'), ('move', 'blizzard')): -1.417983719191239
(('lapras', 'golbat'), ('move', 'brine')): -1.6791766821547205
(('lapras', 'golem'), ('move', 'bodyslam')): -0.35364112142032855
(('lapras', 'alakazam'), ('move', 'blizzard')): -1.6471760527220942
(('lapras', 'alakazam'), ('move', 'brine')): -1.2472907164938771
(('lapras', 'ninetales'), ('move', 'psychic')): -1.7305524335070286
(('lapras', 'ninetales'), ('switch', 'pikachu')): -2.2068022073345066
(('snorlax', 'ninetales'), ('switch', 'pikachu')): -3.0389500951973174
(('pikachu', 'golem'), ('move', 'quickattack')): -1.9804628426577757
(('blastoise', 'nidoqueen'), ('move', 'hydrocannon')): -1.7960072793837745
(('blastoise', 'nidoqueen'), ('switch', 'venusaur')): 1.043072409870749
(('venusaur', 'nidoqueen'), ('move', 'frenzyplant')): -1.1424768110740398
(('venusaur', 'alakazam'), ('move', 'recharge')): -1.9624218385761858
(('venusaur', 'alakazam'), ('switch', 'charizard')): -0.12740776917257535
(('charizard', 'nidoqueen'), ('switch', 'pikachu')): -1.330296481281288
(('pikachu', 'nidoqueen'), ('switch', 'charizard')): 1.6201233042701164
(('charizard', 'golbat'), ('move', 'blastburn')): -2.381925687647344
(('charizard', 'alakazam'), ('move', 'recharge')): -0.2303941827161748
(('pikachu', 'pidgeot'), ('move', 'irontail')): -1.5372258796720093
(('blastoise', 'golem'), ('switch', 'lapras')): -0.14679987135177758
(('lapras', 'arcanine'), ('move', 'psychic')): -0.6770401796341449
(('venusaur', 'poliwrath'), ('switch', 'lapras')): 0.4327827020918301
(('lapras', 'poliwrath'), ('switch', 'pikachu')): -1.0553364876473375
(('pikachu', 'poliwrath'), ('switch', 'charizard')): 0.38321311125393653
(('venusaur', 'poliwrath'), ('switch', 'snorlax')): 0.5548307183491163
(('blastoise', 'golbat'), ('switch', 'venusaur')): 0.36468238368351846
(('venusaur', 'golbat'), ('move', 'gigadrain')): -0.9620766482992249
(('venusaur', 'golbat'), ('move', 'sleeppowder')): -1.1875532820148516
(('blastoise', 'alakazam'), ('switch', 'charizard')): -0.6099503967967019
(('charizard', 'alakazam'), ('move', 'airslash')): -0.5877513472414101
(('lapras', 'golem'), ('switch', 'blastoise')): -2.6599523598489223
(('venusaur', 'poliwrath'), ('switch', 'charizard')): 0.39624491700156583
(('snorlax', 'alakazam'), ('move', 'shadowball')): -3.00290457444531
(('venusaur', 'arcanine'), ('move', 'gigadrain')): -1.4603129238225865
(('lapras', 'golem'), ('switch', 'venusaur')): -1.6466204899612715
(('snorlax', 'arcanine'), ('switch', 'pikachu')): -2.5655040486128096
(('pikachu', 'arcanine'), ('switch', 'blastoise')): 1.1335404218038656
(('snorlax', 'machamp'), ('move', 'blizzard')): -2.826532165477046
(('venusaur', 'arbok'), ('move', 'gigadrain')): -1.1223514558202665
(('venusaur', 'arbok'), ('move', 'sleeppowder')): -2.0257752621811655
(('venusaur', 'golbat'), ('switch', 'lapras')): -0.5024644838919631
(('charizard', 'golem'), ('move', 'blastburn')): -1.417758953134508
(('charizard', 'ninetales'), ('move', 'recharge')): -0.5880566618843168
(('charizard', 'machamp'), ('move', 'blastburn')): -1.0342952671304133
(('charizard', 'golem'), ('move', 'recharge')): 0.11038395287627828
(('charizard', 'golem'), ('switch', 'lapras')): 2.875426508695544
(('charizard', 'machamp'), ('move', 'dragonpulse')): -0.10936491048266803
(('venusaur', 'pidgeot'), ('move', 'sleeppowder')): -0.4269287918998894
(('blastoise', 'arcanine'), ('switch', 'lapras')): -0.25744912374532425
(('venusaur', 'pidgeot'), ('move', 'frenzyplant')): -1.8742105429105558
(('venusaur', 'pidgeot'), ('switch', 'charizard')): -0.37628474963154274
(('lapras', 'arcanine'), ('move', 'bodyslam')): -2.878243452719059
(('lapras', 'ninetales'), ('move', 'bodyslam')): -1.4181412909395135
(('lapras', 'ninetales'), ('switch', 'snorlax')): 0.021263790447038675
(('blastoise', 'ninetales'), ('switch', 'venusaur')): 2.48152499388374
(('lapras', 'golem'), ('switch', 'charizard')): -3.3400311002451857
(('pikachu', 'nidoqueen'), ('switch', 'blastoise')): 0.7885023581918201
(('pikachu', 'arcanine'), ('move', 'volttackle')): -1.3507204848378107
(('blastoise', 'arcanine'), ('switch', 'venusaur')): 2.230669177182458
(('venusaur', 'arcanine'), ('move', 'recharge')): -1.5018450576242506
(('venusaur', 'ninetales'), ('move', 'sleeppowder')): -0.3217052081625671
(('venusaur', 'ninetales'), ('switch', 'blastoise')): -0.12418130353095591
(('blastoise', 'arcanine'), ('move', 'recharge')): -1.3456215697893066
(('charizard', 'pidgeot'), ('switch', 'venusaur')): 1.0273850565608598
(('venusaur', 'pidgeot'), ('switch', 'blastoise')): -0.052400038963486384
(('lapras', 'golem'), ('switch', 'snorlax')): -3.012218834066894
(('venusaur', 'pidgeot'), ('switch', 'pikachu')): -2.223760680818099
(('pikachu', 'pidgeot'), ('switch', 'lapras')): 1.2036296311715753
(('lapras', 'pidgeot'), ('switch', 'pikachu')): -2.0767787112157268
(('pikachu', 'pidgeot'), ('switch', 'blastoise')): 0.549681340803222
(('blastoise', 'pidgeot'), ('move', 'blizzard')): 1.6262659117849625
(('pikachu', 'sandslash'), ('move', 'volttackle')): -1.6013752639855143
(('pikachu', 'sandslash'), ('switch', 'lapras')): 0.8445279218197392
(('lapras', 'arcanine'), ('switch', 'snorlax')): -1.8633692534470039
(('blastoise', 'arcanine'), ('move', 'hydrocannon')): -2.3913399735210503
(('blastoise', 'arbok'), ('switch', 'snorlax')): -1.0694070010505938
(('snorlax', 'arbok'), ('switch', 'lapras')): -4.231462687290364
(('lapras', 'arcanine'), ('switch', 'charizard')): -0.05889893284194586
(('charizard', 'arcanine'), ('move', 'flareblitz')): -1.6034115113767482
(('charizard', 'arcanine'), ('switch', 'blastoise')): 0.29569434682909196
(('lapras', 'arbok'), ('move', 'blizzard')): -2.033475233339017
(('snorlax', 'pidgeot'), ('switch', 'charizard')): -2.9031878020241226
(('lapras', 'machamp'), ('switch', 'blastoise')): -1.0157380440909463
(('blastoise', 'sandslash'), ('move', 'recharge')): -1.5827412669627463
(('snorlax', 'machamp'), ('switch', 'blastoise')): -1.8929443035876168
(('lapras', 'alakazam'), ('move', 'psychic')): -1.4061934339689133
(('blastoise', 'ninetales'), ('switch', 'snorlax')): -0.34431579976606075
(('snorlax', 'nidoking'), ('move', 'recharge')): -1.5077211095689083
(('charizard', 'nidoking'), ('move', 'dragonpulse')): -0.27748353477742294
(('snorlax', 'arcanine'), ('move', 'recharge')): -3.614620390151149
(('blastoise', 'arbok'), ('move', 'flashcannon')): -1.0084977838299651
(('blastoise', 'arbok'), ('switch', 'venusaur')): 0.5688137380625891
(('venusaur', 'arbok'), ('move', 'frenzyplant')): -1.857651177018059
(('charizard', 'machamp'), ('switch', 'lapras')): -1.7661058090927932
(('lapras', 'machamp'), ('switch', 'charizard')): -1.950691923640232
(('charizard', 'machamp'), ('switch', 'venusaur')): -0.3251192818499993
(('charizard', 'arbok'), ('move', 'blastburn')): -1.0312212143923252
(('charizard', 'arcanine'), ('move', 'recharge')): -1.5571578877985615
(('blastoise', 'sandslash'), ('move', 'blizzard')): -0.6146005755451005
(('blastoise', 'arbok'), ('switch', 'lapras')): 0.724055893114566
(('lapras', 'pidgeot'), ('move', 'psychic')): 1.2463164198689916
(('venusaur', 'sandslash'), ('move', 'sleeppowder')): -1.4718368578483774
(('venusaur', 'sandslash'), ('switch', 'blastoise')): -0.20831425470912368
(('charizard', 'pidgeot'), ('switch', 'pikachu')): -0.06123748388690875
(('blastoise', 'pidgeot'), ('move', 'flashcannon')): -0.6080019134511757
(('blastoise', 'pidgeot'), ('switch', 'lapras')): 0.5764881453420115
(('snorlax', 'arbok'), ('move', 'crunch')): -4.1244955721414325
(('blastoise', 'sandslash'), ('move', 'flashcannon')): -1.0135523991169844
(('snorlax', 'nidoqueen'), ('switch', 'blastoise')): -2.779801969104904
(('charizard', 'arbok'), ('move', 'dragonpulse')): -1.139395780806427
(('blastoise', 'machamp'), ('switch', 'snorlax')): 0.9239555446070953
(('blastoise', 'alakazam'), ('switch', 'venusaur')): 1.1089055849874823
(('charizard', 'machamp'), ('switch', 'pikachu')): -0.5112347947091962
(('pikachu', 'sandslash'), ('move', 'irontail')): -0.4503692335575812
(('venusaur', 'alakazam'), ('move', 'gigadrain')): -0.0025990404535077283
(('venusaur', 'alakazam'), ('switch', 'lapras')): -0.3045380295155071
(('snorlax', 'alakazam'), ('switch', 'venusaur')): -1.849970860384383
