(('pikachu', 'golbat'), ('move', 'quickattack')): -53.4075760083146
(('venusaur', 'golbat'), ('move', 'sludgebomb')): -68.1620146355657
(('venusaur', 'golbat'), ('switch', 'blastoise')): -61.24904789718959
(('blastoise', 'golbat'), ('move', 'focusblast')): -76.28349049968752
(('blastoise', 'golbat'), ('switch', 'snorlax')): -58.59189503540631
(('snorlax', 'golbat'), ('move', 'shadowball')): -81.41736490666204
(('snorlax', 'arcanine'), ('move', 'crunch')): -65.83213854010884
(('lapras', 'sandslash'), ('move', 'psychic')): -32.64191519044215
(('lapras', 'sandslash'), ('switch', 'venusaur')): -23.799315782547254
(('venusaur', 'sandslash'), ('move', 'sludgebomb')): -37.853725776898024
(('venusaur', 'arcanine'), ('move', 'sludgebomb')): -64.5871206366382
(('venusaur', 'arcanine'), ('switch', 'charizard')): -52.6892577686477
(('snorlax', 'golem'), ('move', 'shadowball')): -40.00679309225616
(('snorlax', 'golem'), ('switch', 'pikachu')): -38.074843750522454
(('pikachu', 'pidgeot'), ('move', 'volttackle')): -46.774194700735464
(('pikachu', 'nidoking'), ('move', 'volttackle')): -50.9562898799323
(('pikachu', 'nidoking'), ('switch', 'charizard')): -38.78632506145245
(('charizard', 'nidoking'), ('move', 'blastburn')): -46.4820749161725
(('venusaur', 'nidoking'), ('move', 'sleeppowder')): -44.39488419297156
(('venusaur', 'nidoking'), ('switch', 'lapras')): -48.738306270584495
(('lapras', 'nidoking'), ('move', 'brine')): -42.88158273583189
(('lapras', 'nidoking'), ('switch', 'charizard')): -41.298479995202435
(('charizard', 'nidoking'), ('switch', 'venusaur')): -32.49823282015965
(('venusaur', 'nidoking'), ('move', 'frenzyplant')): -45.189561678110934
(('venusaur', 'nidoqueen'), ('move', 'recharge')): -44.202887892132296
(('blastoise', 'nidoqueen'), ('move', 'blizzard')): -30.09632160039661
(('blastoise', 'sandslash'), ('move', 'hydrocannon')): -30.254185834328432
(('blastoise', 'golem'), ('move', 'recharge')): -48.011186889529306
(('blastoise', 'golem'), ('switch', 'charizard')): -26.47839818142132
(('charizard', 'arbok'), ('move', 'flareblitz')): -71.90730230730823
(('venusaur', 'machamp'), ('move', 'sleeppowder')): -51.77344615925736
(('venusaur', 'machamp'), ('switch', 'charizard')): -53.545353099299135
(('charizard', 'machamp'), ('move', 'airslash')): -51.38105182977105
(('venusaur', 'sandslash'), ('move', 'gigadrain')): -31.140752071572827
(('venusaur', 'alakazam'), ('move', 'gigadrain')): -35.821716183889954
(('pikachu', 'arbok'), ('move', 'irontail')): -54.132776715059165
(('pikachu', 'arbok'), ('switch', 'lapras')): -56.71413717284983
(('lapras', 'arbok'), ('move', 'blizzard')): -80.39476096570428
(('lapras', 'arbok'), ('switch', 'snorlax')): -70.26858692005278
(('charizard', 'nidoking'), ('switch', 'snorlax')): -31.232548080083884
(('snorlax', 'nidoking'), ('move', 'crunch')): -52.81046942989753
(('snorlax', 'pidgeot'), ('move', 'shadowball')): -55.23658083514266
(('snorlax', 'pidgeot'), ('switch', 'blastoise')): -49.629194102903426
(('blastoise', 'pidgeot'), ('move', 'focusblast')): -44.53649776484645
(('blastoise', 'pidgeot'), ('move', 'flashcannon')): -44.85372549100087
(('charizard', 'alakazam'), ('move', 'flareblitz')): -55.502228946252146
(('pikachu', 'pidgeot'), ('move', 'irontail')): -47.99073111985719
(('pikachu', 'pidgeot'), ('switch', 'lapras')): -41.04010745730817
(('lapras', 'pidgeot'), ('move', 'brine')): -46.72142860446145
(('lapras', 'golem'), ('move', 'blizzard')): -36.837271379367905
(('lapras', 'golem'), ('switch', 'charizard')): -37.852307496539986
(('charizard', 'sandslash'), ('move', 'airslash')): -34.406366873009766
(('charizard', 'arbok'), ('move', 'airslash')): -69.07692643974825
(('charizard', 'arbok'), ('switch', 'blastoise')): -68.1522888859539
(('blastoise', 'arbok'), ('move', 'hydrocannon')): -79.93416108048301
(('blastoise', 'arbok'), ('switch', 'venusaur')): -73.83030104341566
(('charizard', 'machamp'), ('switch', 'lapras')): -51.090743745538575
(('venusaur', 'machamp'), ('move', 'frenzyplant')): -56.31285467515612
(('venusaur', 'machamp'), ('move', 'recharge')): -47.81940566126049
(('pikachu', 'pidgeot'), ('move', 'quickattack')): -44.0292602432686
(('pikachu', 'ninetales'), ('move', 'quickattack')): -33.42291259573729
(('pikachu', 'ninetales'), ('switch', 'snorlax')): -27.19401647756534
(('snorlax', 'ninetales'), ('move', 'shadowball')): -46.366661646688726
(('snorlax', 'ninetales'), ('move', 'crunch')): -47.16277366579018
(('snorlax', 'alakazam'), ('move', 'crunch')): -54.57714940783923
(('snorlax', 'alakazam'), ('switch', 'charizard')): -45.25392745085549
(('charizard', 'alakazam'), ('move', 'airslash')): -52.577068403908676
(('charizard', 'nidoking'), ('move', 'dragonpulse')): -44.75361104531999
(('charizard', 'nidoking'), ('switch', 'blastoise')): -42.84285127520843
(('blastoise', 'nidoking'), ('move', 'focusblast')): -45.218629148955564
(('pikachu', 'arbok'), ('move', 'quickattack')): -47.35082501276813
(('lapras', 'arbok'), ('move', 'brine')): -83.02005498790825
(('snorlax', 'arbok'), ('move', 'blizzard')): -82.41673183998131
(('snorlax', 'arbok'), ('move', 'gigaimpact')): -77.09439132376177
(('snorlax', 'arbok'), ('switch', 'charizard')): -76.21163122370399
(('blastoise', 'arbok'), ('move', 'blizzard')): -79.3156070578247
(('blastoise', 'arbok'), ('switch', 'pikachu')): -66.8231671775115
(('pikachu', 'arbok'), ('switch', 'blastoise')): -52.047401863938255
(('blastoise', 'arbok'), ('move', 'flashcannon')): -81.30213536012435
(('blastoise', 'arbok'), ('switch', 'charizard')): -57.55235694183084
(('charizard', 'arbok'), ('move', 'blastburn')): -57.41050159402756
(('charizard', 'sandslash'), ('move', 'recharge')): -24.587474664963498
(('charizard', 'sandslash'), ('move', 'blastburn')): -39.256250647223254
(('charizard', 'alakazam'), ('move', 'recharge')): -39.25579400805088
(('charizard', 'alakazam'), ('move', 'blastburn')): -54.32738549900369
(('pikachu', 'nidoking'), ('move', 'quickattack')): -47.09691118154624
(('blastoise', 'nidoking'), ('move', 'hydrocannon')): -45.67478095008726
(('blastoise', 'sandslash'), ('move', 'recharge')): -42.88103844217747
(('venusaur', 'golem'), ('move', 'sludgebomb')): -46.02700442011671
(('venusaur', 'golem'), ('switch', 'lapras')): -40.316121279366826
(('charizard', 'arbok'), ('switch', 'snorlax')): -64.92381867306187
(('snorlax', 'arbok'), ('switch', 'pikachu')): -74.90813722847082
(('snorlax', 'arbok'), ('switch', 'lapras')): -68.35357407285152
(('lapras', 'arbok'), ('move', 'psychic')): -82.13283177148794
(('lapras', 'arbok'), ('switch', 'pikachu')): -71.6032771351316
(('pikachu', 'machamp'), ('move', 'volttackle')): -35.8378378004372
(('snorlax', 'nidoqueen'), ('move', 'shadowball')): -33.75806668913793
(('snorlax', 'golem'), ('switch', 'charizard')): -40.313141378070156
(('charizard', 'golem'), ('switch', 'pikachu')): -43.58475340277862
(('pikachu', 'nidoking'), ('move', 'irontail')): -44.44176382804429
(('pikachu', 'sandslash'), ('move', 'irontail')): -24.884019899169132
(('pikachu', 'sandslash'), ('switch', 'lapras')): -20.790864639840425
(('venusaur', 'sandslash'), ('switch', 'snorlax')): -30.935204361510916
(('snorlax', 'sandslash'), ('move', 'crunch')): -41.411923430940845
(('snorlax', 'sandslash'), ('switch', 'blastoise')): -29.619329569292187
(('lapras', 'sandslash'), ('move', 'bodyslam')): -38.01551147828343
(('lapras', 'pidgeot'), ('move', 'psychic')): -42.21429734014351
(('lapras', 'pidgeot'), ('switch', 'blastoise')): -47.09469001075274
(('blastoise', 'pidgeot'), ('move', 'hydrocannon')): -43.72809671881195
(('blastoise', 'arcanine'), ('move', 'recharge')): -51.655529585995396
(('lapras', 'sandslash'), ('switch', 'charizard')): -23.08923893228342
(('charizard', 'sandslash'), ('move', 'dragonpulse')): -33.191866698709795
(('charizard', 'alakazam'), ('move', 'dragonpulse')): -52.12246473011092
(('charizard', 'pidgeot'), ('switch', 'snorlax')): -37.61352830306738
(('blastoise', 'pidgeot'), ('switch', 'lapras')): -41.99925623992701
(('lapras', 'pidgeot'), ('move', 'bodyslam')): -49.434645614443184
(('charizard', 'golem'), ('switch', 'snorlax')): -43.442193188450624
(('venusaur', 'nidoqueen'), ('move', 'sleeppowder')): -32.47221844524049
(('venusaur', 'nidoqueen'), ('switch', 'snorlax')): -24.228532205001073
(('snorlax', 'nidoqueen'), ('move', 'crunch')): -37.62334440023241
(('charizard', 'sandslash'), ('switch', 'pikachu')): -62.34431569371265
(('charizard', 'sandslash'), ('switch', 'lapras')): -36.51401880678676
(('charizard', 'sandslash'), ('switch', 'snorlax')): -33.47632904867856
(('blastoise', 'nidoking'), ('move', 'recharge')): -24.751949935224943
(('blastoise', 'nidoking'), ('move', 'blizzard')): -48.92893628851541
(('blastoise', 'nidoking'), ('switch', 'charizard')): -36.78797458141894
(('snorlax', 'nidoking'), ('move', 'blizzard')): -52.052612016616585
(('snorlax', 'nidoqueen'), ('switch', 'venusaur')): -37.176840602420796
(('snorlax', 'golbat'), ('move', 'crunch')): -81.62655960355345
(('snorlax', 'golbat'), ('switch', 'blastoise')): -64.75533394025459
(('blastoise', 'golbat'), ('move', 'hydrocannon')): -75.63965860390138
(('blastoise', 'golbat'), ('switch', 'charizard')): -63.06657977810821
(('charizard', 'golbat'), ('move', 'flareblitz')): -58.48722518418685
(('charizard', 'machamp'), ('move', 'blastburn')): -59.43031635142633
(('charizard', 'machamp'), ('move', 'recharge')): -61.22768724639387
(('charizard', 'machamp'), ('switch', 'pikachu')): -54.063862690024116
(('lapras', 'golem'), ('move', 'brine')): -44.496878675855505
(('lapras', 'golem'), ('switch', 'pikachu')): -39.83885457227195
(('pikachu', 'arcanine'), ('move', 'irontail')): -53.11022309028965
(('pikachu', 'arcanine'), ('switch', 'venusaur')): -53.26008369591624
(('snorlax', 'pidgeot'), ('move', 'crunch')): -50.85038399810199
(('charizard', 'machamp'), ('move', 'dragonpulse')): -56.16640896490425
(('pikachu', 'machamp'), ('move', 'irontail')): -45.95891112643991
(('lapras', 'sandslash'), ('switch', 'snorlax')): -32.80028602065689
(('snorlax', 'sandslash'), ('switch', 'lapras')): -35.43351291065971
(('lapras', 'sandslash'), ('switch', 'blastoise')): -28.26258123019735
(('blastoise', 'sandslash'), ('move', 'blizzard')): -29.209446325985834
(('blastoise', 'alakazam'), ('move', 'blizzard')): -48.34937224453622
(('blastoise', 'alakazam'), ('move', 'flashcannon')): -51.59098561186145
(('blastoise', 'alakazam'), ('switch', 'venusaur')): -43.92276736501084
(('lapras', 'nidoqueen'), ('move', 'brine')): -31.099080077133763
(('snorlax', 'golbat'), ('move', 'blizzard')): -77.13089359834471
(('snorlax', 'golbat'), ('switch', 'lapras')): -74.59147677397098
(('blastoise', 'golbat'), ('move', 'blizzard')): -78.22135281427
(('lapras', 'machamp'), ('switch', 'blastoise')): -47.27281004924444
(('blastoise', 'machamp'), ('move', 'blizzard')): -53.896210767346886
(('blastoise', 'machamp'), ('switch', 'charizard')): -50.090136119922825
(('charizard', 'arbok'), ('move', 'dragonpulse')): -68.56940306124275
(('blastoise', 'golem'), ('move', 'focusblast')): -28.337462866703788
(('blastoise', 'poliwrath'), ('switch', 'snorlax')): -60.414422507519475
(('venusaur', 'poliwrath'), ('move', 'frenzyplant')): -27.373765702182446
(('venusaur', 'nidoking'), ('move', 'recharge')): -34.42137766245181
(('snorlax', 'nidoking'), ('move', 'gigaimpact')): -53.09277821103679
(('snorlax', 'arcanine'), ('move', 'recharge')): -69.78724905632993
(('snorlax', 'arcanine'), ('move', 'blizzard')): -67.36477571955012
(('snorlax', 'arcanine'), ('switch', 'blastoise')): -52.04265574427611
(('blastoise', 'arcanine'), ('move', 'focusblast')): -69.54030799954053
(('blastoise', 'arcanine'), ('switch', 'lapras')): -49.3783356636155
(('venusaur', 'arcanine'), ('move', 'sleeppowder')): -63.60122082178832
(('venusaur', 'arcanine'), ('switch', 'lapras')): -55.13340451602774
(('blastoise', 'sandslash'), ('move', 'flashcannon')): -29.985675375044536
(('charizard', 'sandslash'), ('switch', 'venusaur')): -32.158692722899026
(('venusaur', 'pidgeot'), ('switch', 'lapras')): -38.28983561814856
(('venusaur', 'poliwrath'), ('move', 'sleeppowder')): -9.57368003313139
(('venusaur', 'poliwrath'), ('switch', 'charizard')): -34.098262212941044
(('charizard', 'poliwrath'), ('move', 'airslash')): -51.96234609554125
(('charizard', 'ninetales'), ('move', 'airslash')): -44.02518422659238
(('charizard', 'ninetales'), ('move', 'blastburn')): -42.01425159134477
(('charizard', 'golbat'), ('move', 'recharge')): -73.5229139541364
(('charizard', 'golbat'), ('move', 'airslash')): -60.83882663656455
(('charizard', 'golbat'), ('switch', 'pikachu')): -58.485322771908415
(('pikachu', 'poliwrath'), ('move', 'irontail')): -44.65646754794032
(('pikachu', 'poliwrath'), ('switch', 'lapras')): -45.4506279166798
(('lapras', 'poliwrath'), ('move', 'psychic')): -51.48876554039185
(('lapras', 'poliwrath'), ('move', 'bodyslam')): -63.12429616192736
(('lapras', 'ninetales'), ('move', 'blizzard')): -38.22561196328339
(('lapras', 'ninetales'), ('switch', 'blastoise')): -38.42370483119816
(('blastoise', 'ninetales'), ('move', 'focusblast')): -38.729976999149386
(('blastoise', 'ninetales'), ('switch', 'venusaur')): -29.0437586809147
(('venusaur', 'ninetales'), ('move', 'gigadrain')): -36.5912875822761
(('venusaur', 'ninetales'), ('move', 'sleeppowder')): -36.81373667726203
(('venusaur', 'ninetales'), ('move', 'frenzyplant')): -36.78960614025931
(('venusaur', 'pidgeot'), ('move', 'recharge')): -45.26581517927892
(('venusaur', 'pidgeot'), ('move', 'sludgebomb')): -49.38440501997643
(('venusaur', 'pidgeot'), ('switch', 'snorlax')): -45.468219602832264
(('snorlax', 'pidgeot'), ('move', 'blizzard')): -52.958626794754146
(('snorlax', 'nidoqueen'), ('move', 'blizzard')): -38.28717620972028
(('snorlax', 'arcanine'), ('move', 'gigaimpact')): -72.65472200266173
(('snorlax', 'ninetales'), ('move', 'blizzard')): -46.43109914863433
(('snorlax', 'ninetales'), ('switch', 'pikachu')): -47.899051662937055
(('pikachu', 'ninetales'), ('move', 'volttackle')): -42.741338477119534
(('pikachu', 'arcanine'), ('switch', 'blastoise')): -45.53946349653425
(('lapras', 'arcanine'), ('switch', 'venusaur')): -67.59610593867474
(('venusaur', 'arcanine'), ('move', 'gigadrain')): -67.4152834590869
(('charizard', 'arcanine'), ('move', 'airslash')): -64.99265943505085
(('charizard', 'alakazam'), ('switch', 'pikachu')): -51.062426405786375
(('blastoise', 'alakazam'), ('switch', 'charizard')): -42.99848321186963
(('charizard', 'pidgeot'), ('move', 'airslash')): -47.600320932512375
(('charizard', 'pidgeot'), ('move', 'blastburn')): -45.90299546762898
(('lapras', 'golem'), ('move', 'psychic')): -40.01568470261284
(('lapras', 'golbat'), ('move', 'brine')): -81.3467712689172
(('lapras', 'golbat'), ('switch', 'snorlax')): -59.15679143860362
(('snorlax', 'golbat'), ('move', 'gigaimpact')): -87.17514224688728
(('snorlax', 'golbat'), ('switch', 'pikachu')): -73.2962971844875
(('charizard', 'golbat'), ('move', 'blastburn')): -55.308174387959646
(('charizard', 'nidoqueen'), ('move', 'recharge')): -43.4119492460796
(('charizard', 'nidoqueen'), ('move', 'flareblitz')): -33.213863111804635
(('charizard', 'ninetales'), ('move', 'dragonpulse')): -41.430550711241175
(('charizard', 'ninetales'), ('switch', 'pikachu')): -36.45569584215309
(('pikachu', 'ninetales'), ('move', 'irontail')): -37.06612250777228
(('pikachu', 'ninetales'), ('switch', 'venusaur')): -26.110083882451296
(('venusaur', 'pidgeot'), ('move', 'frenzyplant')): -46.568667435620725
(('charizard', 'golem'), ('move', 'airslash')): -45.74392275593295
(('pikachu', 'golbat'), ('move', 'irontail')): -56.213162944334115
(('pikachu', 'nidoqueen'), ('move', 'volttackle')): -30.23352717906721
(('pikachu', 'nidoqueen'), ('switch', 'snorlax')): -19.306214587187284
(('snorlax', 'nidoqueen'), ('move', 'gigaimpact')): -41.82707421757568
(('snorlax', 'nidoqueen'), ('switch', 'lapras')): -37.49768704327978
(('lapras', 'nidoqueen'), ('move', 'psychic')): -28.55271871501916
(('lapras', 'nidoking'), ('move', 'psychic')): -40.8912748621587
(('lapras', 'nidoking'), ('switch', 'blastoise')): -37.769305945066606
(('blastoise', 'nidoking'), ('switch', 'venusaur')): -35.62500018170654
(('venusaur', 'poliwrath'), ('move', 'recharge')): -24.566246219610512
(('snorlax', 'ninetales'), ('move', 'recharge')): -25.718817639845344
(('snorlax', 'ninetales'), ('switch', 'charizard')): -42.54419034692911
(('charizard', 'ninetales'), ('switch', 'venusaur')): -36.44585019304988
(('venusaur', 'ninetales'), ('switch', 'charizard')): -34.70065669132136
(('venusaur', 'ninetales'), ('switch', 'lapras')): -38.52282869835376
(('blastoise', 'ninetales'), ('move', 'hydrocannon')): -40.51405489671294
(('blastoise', 'machamp'), ('move', 'recharge')): -46.48558268886343
(('charizard', 'arcanine'), ('move', 'blastburn')): -68.39720910743938
(('charizard', 'arcanine'), ('switch', 'venusaur')): -65.40738348134184
(('charizard', 'poliwrath'), ('move', 'blastburn')): -49.269411371876735
(('charizard', 'poliwrath'), ('switch', 'lapras')): -42.36194271976244
(('lapras', 'poliwrath'), ('switch', 'pikachu')): -56.02293777742182
(('lapras', 'poliwrath'), ('switch', 'venusaur')): -26.354732958637364
(('venusaur', 'poliwrath'), ('switch', 'snorlax')): -34.60161640913589
(('snorlax', 'poliwrath'), ('move', 'blizzard')): -56.6511552220216
(('snorlax', 'poliwrath'), ('move', 'gigaimpact')): -60.15338671055007
(('snorlax', 'arbok'), ('move', 'recharge')): -79.87756113980237
(('lapras', 'arbok'), ('move', 'bodyslam')): -85.4768241238094
(('snorlax', 'arbok'), ('switch', 'blastoise')): -65.98052169577555
(('blastoise', 'arcanine'), ('move', 'hydrocannon')): -70.4673311274389
(('blastoise', 'arcanine'), ('switch', 'snorlax')): -62.9663721405569
(('snorlax', 'alakazam'), ('move', 'recharge')): -37.177144213253996
(('charizard', 'alakazam'), ('switch', 'venusaur')): -52.19838811206421
(('venusaur', 'poliwrath'), ('move', 'gigadrain')): -20.903765608604985
(('lapras', 'ninetales'), ('move', 'brine')): -41.553805083977444
(('lapras', 'ninetales'), ('switch', 'venusaur')): -34.360666325638626
(('lapras', 'alakazam'), ('switch', 'snorlax')): -45.806700962055935
(('snorlax', 'ninetales'), ('move', 'gigaimpact')): -44.426748441623666
(('snorlax', 'arcanine'), ('switch', 'venusaur')): -62.85131776771216
(('venusaur', 'arcanine'), ('move', 'frenzyplant')): -65.82057519966695
(('venusaur', 'arcanine'), ('switch', 'blastoise')): -61.613229019693705
(('pikachu', 'machamp'), ('move', 'quickattack')): -45.582997916763176
(('pikachu', 'golbat'), ('move', 'thunderbolt')): -48.876633782245136
(('lapras', 'poliwrath'), ('switch', 'charizard')): -60.68169731447503
(('snorlax', 'pidgeot'), ('move', 'recharge')): -38.273702721703636
(('snorlax', 'pidgeot'), ('move', 'gigaimpact')): -53.05055391276184
(('snorlax', 'pidgeot'), ('switch', 'pikachu')): -51.619166227001664
(('lapras', 'alakazam'), ('move', 'psychic')): -56.97441335896117
(('lapras', 'alakazam'), ('switch', 'venusaur')): -43.326089223990564
(('blastoise', 'arbok'), ('switch', 'lapras')): -76.17702394689023
(('pikachu', 'machamp'), ('switch', 'snorlax')): -44.772462868743276
(('snorlax', 'machamp'), ('move', 'shadowball')): -59.0334233173725
(('snorlax', 'machamp'), ('switch', 'lapras')): -51.6866123697109
(('charizard', 'golbat'), ('move', 'dragonpulse')): -66.17248779291329
(('charizard', 'golbat'), ('switch', 'venusaur')): -61.81193910758776
(('venusaur', 'golbat'), ('move', 'gigadrain')): -63.772310333960114
(('venusaur', 'golbat'), ('switch', 'lapras')): -59.84035274044773
(('lapras', 'golbat'), ('move', 'psychic')): -80.92310465883328
(('lapras', 'nidoking'), ('move', 'bodyslam')): -44.61103679378911
(('snorlax', 'nidoking'), ('switch', 'blastoise')): -54.89578286861902
(('snorlax', 'nidoking'), ('switch', 'pikachu')): -49.72905200150538
(('pikachu', 'nidoking'), ('move', 'thunderbolt')): -45.09483310039928
(('pikachu', 'nidoking'), ('switch', 'snorlax')): -43.378277513960896
(('snorlax', 'nidoking'), ('switch', 'venusaur')): -38.41726630678034
(('lapras', 'nidoking'), ('switch', 'snorlax')): -39.176754279079454
(('snorlax', 'golem'), ('move', 'crunch')): -36.74795613570029
(('snorlax', 'golem'), ('switch', 'venusaur')): -35.941263559115484
(('pikachu', 'ninetales'), ('switch', 'charizard')): -32.52602271418401
(('charizard', 'ninetales'), ('switch', 'lapras')): -37.48332973933018
(('lapras', 'ninetales'), ('move', 'psychic')): -41.30307847065222
(('blastoise', 'ninetales'), ('move', 'blizzard')): -40.642217791842874
(('blastoise', 'ninetales'), ('switch', 'charizard')): -32.35613670758156
