(('blastoise', 'sandslash'), ('move', 'focusblast')): -56.86551931111434
(('venusaur', 'pidgeot'), ('switch', 'pikachu')): -48.44685866992498
(('pikachu', 'pidgeot'), ('move', 'quickattack')): -63.15677171654194
(('pikachu', 'sandslash'), ('move', 'volttackle')): -51.53748292209008
(('pikachu', 'sandslash'), ('switch', 'charizard')): -32.297200796457645
(('charizard', 'sandslash'), ('move', 'flareblitz')): -53.57811024658898
(('charizard', 'alakazam'), ('move', 'airslash')): -68.81913063751013
(('pikachu', 'golem'), ('move', 'volttackle')): -61.17948534511334
(('pikachu', 'golem'), ('switch', 'blastoise')): -53.51130415380152
(('blastoise', 'arcanine'), ('move', 'blizzard')): -91.61595230314575
(('blastoise', 'arcanine'), ('switch', 'snorlax')): -70.04753709616543
(('lapras', 'arcanine'), ('switch', 'charizard')): -68.87466881334386
(('charizard', 'arcanine'), ('move', 'airslash')): -81.8705774274224
(('charizard', 'arbok'), ('move', 'airslash')): -82.01375710944332
(('charizard', 'arbok'), ('switch', 'venusaur')): -80.31882320805131
(('snorlax', 'arbok'), ('move', 'crunch')): -96.20827160596741
(('snorlax', 'arbok'), ('switch', 'venusaur')): -80.5143076401756
(('venusaur', 'nidoqueen'), ('move', 'gigadrain')): -52.93895837360661
(('snorlax', 'arcanine'), ('move', 'crunch')): -88.85487340966077
(('snorlax', 'ninetales'), ('move', 'gigaimpact')): -68.86360374780229
(('snorlax', 'sandslash'), ('move', 'recharge')): -70.1129694169186
(('snorlax', 'sandslash'), ('move', 'shadowball')): -63.4118388876732
(('snorlax', 'sandslash'), ('switch', 'venusaur')): -51.604319650384795
(('venusaur', 'sandslash'), ('move', 'sludgebomb')): -60.575039828016116
(('venusaur', 'sandslash'), ('switch', 'blastoise')): -44.96181989415606
(('lapras', 'sandslash'), ('move', 'brine')): -58.9475466187398
(('lapras', 'sandslash'), ('switch', 'charizard')): -35.319791059273996
(('charizard', 'pidgeot'), ('move', 'flareblitz')): -59.97506167616352
(('charizard', 'machamp'), ('move', 'airslash')): -45.27503549792873
(('blastoise', 'arcanine'), ('move', 'flashcannon')): -88.57398038334159
(('blastoise', 'nidoking'), ('move', 'flashcannon')): -68.53258919411225
(('blastoise', 'nidoking'), ('switch', 'snorlax')): -45.078653446898315
(('snorlax', 'nidoking'), ('move', 'crunch')): -64.78078546860348
(('snorlax', 'arbok'), ('switch', 'pikachu')): -86.06031057264639
(('pikachu', 'arbok'), ('move', 'volttackle')): -54.39194914596651
(('charizard', 'sandslash'), ('move', 'airslash')): -45.54343588273279
(('charizard', 'ninetales'), ('move', 'flareblitz')): -60.70239759669174
(('charizard', 'golbat'), ('move', 'airslash')): -77.34720814207031
(('charizard', 'golbat'), ('switch', 'pikachu')): -72.5790785955149
(('pikachu', 'golbat'), ('move', 'irontail')): -82.86420559664808
(('blastoise', 'ninetales'), ('move', 'focusblast')): -53.30042441793299
(('blastoise', 'ninetales'), ('switch', 'lapras')): -51.09827745566568
(('lapras', 'ninetales'), ('move', 'blizzard')): -57.57746799616417
(('lapras', 'ninetales'), ('switch', 'charizard')): -45.80777767881845
(('charizard', 'ninetales'), ('move', 'airslash')): -52.40289006709578
(('charizard', 'arcanine'), ('move', 'blastburn')): -88.55076070416834
(('charizard', 'arcanine'), ('move', 'recharge')): -101.54001917169818
(('charizard', 'arcanine'), ('switch', 'snorlax')): -68.90806045234599
(('snorlax', 'arcanine'), ('move', 'blizzard')): -71.84508607381945
(('venusaur', 'sandslash'), ('move', 'gigadrain')): -37.396570465741185
(('venusaur', 'sandslash'), ('switch', 'snorlax')): -45.98795227754169
(('venusaur', 'alakazam'), ('move', 'sludgebomb')): -46.84828920209929
(('venusaur', 'alakazam'), ('switch', 'pikachu')): -54.94209586483786
(('pikachu', 'alakazam'), ('move', 'volttackle')): -69.63823048343798
(('pikachu', 'nidoking'), ('move', 'volttackle')): -71.95449923188023
(('pikachu', 'nidoking'), ('move', 'irontail')): -62.20084989907514
(('snorlax', 'golbat'), ('move', 'shadowball')): -98.62477291485713
(('venusaur', 'ninetales'), ('move', 'sludgebomb')): -47.33812599459897
(('venusaur', 'ninetales'), ('move', 'gigadrain')): -50.649404338303015
(('blastoise', 'nidoqueen'), ('move', 'recharge')): -31.454399910218086
(('blastoise', 'machamp'), ('move', 'recharge')): -60.8513907450959
(('charizard', 'sandslash'), ('move', 'blastburn')): -57.24121291775206
(('lapras', 'sandslash'), ('move', 'bodyslam')): -62.73879605756135
(('charizard', 'arbok'), ('move', 'recharge')): -86.4189632353821
(('pikachu', 'arbok'), ('switch', 'blastoise')): -67.50245132894744
(('blastoise', 'arbok'), ('move', 'hydrocannon')): -99.38480081882062
(('blastoise', 'arbok'), ('switch', 'charizard')): -76.36347735568903
(('charizard', 'arbok'), ('move', 'blastburn')): -70.66645912316069
(('charizard', 'nidoqueen'), ('move', 'recharge')): -54.48993772022378
(('charizard', 'nidoqueen'), ('switch', 'snorlax')): -39.38559596315278
(('snorlax', 'poliwrath'), ('move', 'crunch')): -68.94217516052136
(('blastoise', 'arbok'), ('move', 'recharge')): -77.19157752998561
(('snorlax', 'arbok'), ('move', 'blizzard')): -84.1181635905353
(('snorlax', 'arbok'), ('switch', 'lapras')): -84.92658439129484
(('lapras', 'arbok'), ('move', 'blizzard')): -88.95678960191508
(('charizard', 'ninetales'), ('move', 'blastburn')): -60.690438259402306
(('charizard', 'ninetales'), ('move', 'recharge')): -43.80969123665529
(('charizard', 'ninetales'), ('move', 'dragonpulse')): -57.982579186973005
(('charizard', 'nidoking'), ('move', 'airslash')): -64.71726471850346
(('charizard', 'nidoking'), ('switch', 'lapras')): -59.16710122974234
(('lapras', 'nidoking'), ('move', 'brine')): -68.32186621174921
(('lapras', 'nidoking'), ('switch', 'blastoise')): -65.55529228080637
(('blastoise', 'nidoking'), ('move', 'focusblast')): -67.95836365446532
(('blastoise', 'nidoking'), ('switch', 'pikachu')): -51.560093253957035
(('pikachu', 'poliwrath'), ('move', 'irontail')): -73.67469357440714
(('lapras', 'pidgeot'), ('move', 'blizzard')): -57.463077987549646
(('lapras', 'golbat'), ('move', 'blizzard')): -94.04025188284145
(('lapras', 'golbat'), ('switch', 'snorlax')): -85.27722954312121
(('snorlax', 'golbat'), ('move', 'crunch')): -99.8830209248424
(('snorlax', 'golbat'), ('switch', 'blastoise')): -78.10367215735106
(('venusaur', 'arbok'), ('switch', 'pikachu')): -81.10330287918889
(('venusaur', 'arbok'), ('switch', 'charizard')): -79.97109663023244
(('charizard', 'ninetales'), ('switch', 'venusaur')): -45.17977571158594
(('venusaur', 'ninetales'), ('move', 'sleeppowder')): -41.114993019088715
(('venusaur', 'ninetales'), ('move', 'frenzyplant')): -50.71737635058656
(('venusaur', 'ninetales'), ('move', 'recharge')): -43.467999164751056
(('venusaur', 'ninetales'), ('switch', 'charizard')): -43.795578841817616
(('venusaur', 'arcanine'), ('move', 'gigadrain')): -75.72904811163133
(('venusaur', 'arcanine'), ('switch', 'charizard')): -74.90258359128744
(('charizard', 'arcanine'), ('move', 'dragonpulse')): -83.19229027542373
(('blastoise', 'golbat'), ('move', 'focusblast')): -105.80630465980575
(('blastoise', 'golbat'), ('switch', 'venusaur')): -91.75722059549982
(('venusaur', 'golbat'), ('move', 'sludgebomb')): -84.04223861496295
(('venusaur', 'golbat'), ('switch', 'charizard')): -65.96724973014285
(('charizard', 'golbat'), ('move', 'blastburn')): -75.856773722958
(('snorlax', 'arcanine'), ('move', 'gigaimpact')): -81.8399911838318
(('snorlax', 'pidgeot'), ('move', 'recharge')): -62.67385271994528
(('snorlax', 'pidgeot'), ('move', 'shadowball')): -65.88845575920881
(('snorlax', 'pidgeot'), ('switch', 'charizard')): -63.001678444842916
(('charizard', 'pidgeot'), ('move', 'airslash')): -54.43486341516859
(('charizard', 'alakazam'), ('move', 'blastburn')): -71.26220288899621
(('charizard', 'golem'), ('move', 'recharge')): -89.96339698881329
(('charizard', 'golem'), ('switch', 'lapras')): -53.143122534891965
(('lapras', 'nidoqueen'), ('move', 'blizzard')): -41.91737481369678
(('lapras', 'nidoqueen'), ('move', 'brine')): -44.73667299820197
(('pikachu', 'nidoking'), ('switch', 'snorlax')): -57.50577053212776
(('snorlax', 'nidoking'), ('move', 'blizzard')): -70.19869154265221
(('snorlax', 'alakazam'), ('move', 'gigaimpact')): -66.34639999563537
(('snorlax', 'arcanine'), ('move', 'recharge')): -94.14026238704072
(('snorlax', 'arcanine'), ('switch', 'charizard')): -79.57410171616574
(('charizard', 'ninetales'), ('switch', 'lapras')): -52.7311514420649
(('lapras', 'ninetales'), ('move', 'brine')): -51.10078842738209
(('lapras', 'ninetales'), ('switch', 'blastoise')): -42.89077952394444
(('blastoise', 'ninetales'), ('move', 'hydrocannon')): -58.594429280235566
(('blastoise', 'ninetales'), ('move', 'recharge')): -57.325700021538154
(('blastoise', 'ninetales'), ('switch', 'charizard')): -43.18460147074191
(('venusaur', 'sandslash'), ('move', 'recharge')): -63.75858687496205
(('venusaur', 'sandslash'), ('switch', 'charizard')): -32.58314121449716
(('charizard', 'pidgeot'), ('move', 'recharge')): -63.7825563515937
(('charizard', 'pidgeot'), ('move', 'blastburn')): -63.92591484653673
(('lapras', 'machamp'), ('move', 'blizzard')): -73.70592801899542
(('lapras', 'alakazam'), ('move', 'blizzard')): -64.12286053895598
(('lapras', 'alakazam'), ('switch', 'venusaur')): -44.270547676229405
(('pikachu', 'alakazam'), ('switch', 'snorlax')): -54.79957136505239
(('snorlax', 'alakazam'), ('move', 'crunch')): -74.25081111946159
(('charizard', 'sandslash'), ('move', 'recharge')): -34.11594106062133
(('snorlax', 'nidoqueen'), ('move', 'blizzard')): -37.33429380464632
(('snorlax', 'ninetales'), ('move', 'blizzard')): -58.97577199849856
(('snorlax', 'ninetales'), ('switch', 'venusaur')): -38.74852084457102
(('venusaur', 'ninetales'), ('switch', 'snorlax')): -44.927472550106984
(('snorlax', 'ninetales'), ('switch', 'blastoise')): -54.530317351416805
(('blastoise', 'ninetales'), ('move', 'blizzard')): -51.343003907357655
(('blastoise', 'ninetales'), ('switch', 'venusaur')): -44.870377717852506
(('snorlax', 'ninetales'), ('switch', 'charizard')): -50.43168155149162
(('blastoise', 'arcanine'), ('switch', 'lapras')): -78.36866018022678
(('charizard', 'alakazam'), ('move', 'dragonpulse')): -71.42493916111658
(('charizard', 'alakazam'), ('switch', 'snorlax')): -65.22688613386202
(('blastoise', 'alakazam'), ('switch', 'lapras')): -61.223473899928244
(('venusaur', 'alakazam'), ('move', 'gigadrain')): -55.817942561329886
(('venusaur', 'nidoqueen'), ('switch', 'snorlax')): -34.772186659314855
(('snorlax', 'nidoqueen'), ('move', 'gigaimpact')): -53.375081769845934
(('snorlax', 'golbat'), ('move', 'recharge')): -91.09684497570576
(('snorlax', 'golbat'), ('switch', 'lapras')): -75.31163804909589
(('lapras', 'golbat'), ('move', 'brine')): -83.7504450936193
(('lapras', 'golbat'), ('switch', 'pikachu')): -78.17675806381455
(('pikachu', 'golbat'), ('switch', 'blastoise')): -70.52215714180187
(('blastoise', 'golbat'), ('move', 'hydrocannon')): -84.61805220689706
(('blastoise', 'arcanine'), ('move', 'recharge')): -66.65119836319391
(('snorlax', 'arcanine'), ('switch', 'pikachu')): -78.7156934947393
(('lapras', 'arcanine'), ('switch', 'snorlax')): -66.35048396728051
(('snorlax', 'arcanine'), ('switch', 'venusaur')): -81.90057156223419
(('venusaur', 'arcanine'), ('switch', 'snorlax')): -72.87886916093032
(('blastoise', 'ninetales'), ('switch', 'snorlax')): -46.28831308664695
(('charizard', 'poliwrath'), ('move', 'airslash')): -66.4059809957183
(('charizard', 'poliwrath'), ('switch', 'snorlax')): -65.5732317999704
(('snorlax', 'poliwrath'), ('move', 'blizzard')): -75.4198047765832
(('snorlax', 'nidoqueen'), ('switch', 'lapras')): -34.211244131414944
(('snorlax', 'arcanine'), ('switch', 'blastoise')): -74.26117373989499
(('charizard', 'golbat'), ('move', 'dragonpulse')): -82.64571138651094
(('lapras', 'machamp'), ('move', 'brine')): -73.31390268465505
(('venusaur', 'pidgeot'), ('move', 'sleeppowder')): -50.3622706280363
(('venusaur', 'pidgeot'), ('switch', 'blastoise')): -51.51288160085473
(('blastoise', 'pidgeot'), ('move', 'focusblast')): -61.49215292888006
(('blastoise', 'pidgeot'), ('move', 'hydrocannon')): -61.63833524040158
(('blastoise', 'pidgeot'), ('switch', 'lapras')): -59.83533009946497
(('charizard', 'sandslash'), ('move', 'dragonpulse')): -35.159461929712286
(('charizard', 'arbok'), ('move', 'dragonpulse')): -82.2253457502918
(('charizard', 'arbok'), ('switch', 'snorlax')): -89.63992539505985
(('lapras', 'arbok'), ('switch', 'snorlax')): -75.35388922208011
(('snorlax', 'arbok'), ('move', 'gigaimpact')): -90.9511239527591
(('snorlax', 'alakazam'), ('move', 'recharge')): -64.47818798636665
(('snorlax', 'alakazam'), ('move', 'blizzard')): -71.14549312478194
(('snorlax', 'alakazam'), ('switch', 'pikachu')): -73.89747948776852
(('pikachu', 'alakazam'), ('move', 'irontail')): -60.755294085677576
(('charizard', 'pidgeot'), ('switch', 'lapras')): -56.76425096140879
(('lapras', 'pidgeot'), ('move', 'brine')): -61.69280620766256
(('lapras', 'nidoqueen'), ('move', 'bodyslam')): -39.19620761886255
(('lapras', 'machamp'), ('switch', 'blastoise')): -63.15175220344332
(('blastoise', 'machamp'), ('move', 'hydrocannon')): -69.3961205266643
(('blastoise', 'machamp'), ('switch', 'venusaur')): -65.391696961225
(('pikachu', 'arcanine'), ('switch', 'venusaur')): -70.23279970453399
(('snorlax', 'golbat'), ('move', 'blizzard')): -86.03115039287165
(('snorlax', 'golbat'), ('switch', 'venusaur')): -85.00804874058036
(('venusaur', 'golbat'), ('move', 'gigadrain')): -76.22545538598887
(('snorlax', 'pidgeot'), ('move', 'crunch')): -65.93979101437654
(('lapras', 'pidgeot'), ('move', 'psychic')): -65.33048219240563
(('lapras', 'pidgeot'), ('move', 'bodyslam')): -63.91488265996242
(('lapras', 'poliwrath'), ('move', 'blizzard')): -77.29030623685388
(('lapras', 'poliwrath'), ('switch', 'charizard')): -74.71496138499077
(('pikachu', 'poliwrath'), ('switch', 'blastoise')): -64.30342419464297
(('blastoise', 'poliwrath'), ('move', 'focusblast')): -74.18221005802987
(('blastoise', 'poliwrath'), ('move', 'hydrocannon')): -72.27213014985783
(('blastoise', 'poliwrath'), ('move', 'blizzard')): -73.51078058584929
(('blastoise', 'poliwrath'), ('switch', 'snorlax')): -70.30009930391128
(('charizard', 'arcanine'), ('switch', 'venusaur')): -74.08660528750767
(('pikachu', 'nidoqueen'), ('move', 'volttackle')): -50.115165350262565
(('pikachu', 'nidoqueen'), ('switch', 'charizard')): -46.60744781450706
(('snorlax', 'nidoqueen'), ('switch', 'venusaur')): -42.249757765938114
(('venusaur', 'nidoqueen'), ('move', 'sleeppowder')): -43.49261176174386
(('lapras', 'ninetales'), ('move', 'psychic')): -60.545382485368044
(('lapras', 'ninetales'), ('switch', 'snorlax')): -55.093947485964705
(('charizard', 'ninetales'), ('switch', 'snorlax')): -54.54122437485494
(('snorlax', 'nidoking'), ('move', 'recharge')): -51.87885832686084
(('snorlax', 'nidoking'), ('move', 'gigaimpact')): -66.92571801430381
(('charizard', 'pidgeot'), ('move', 'dragonpulse')): -54.495840545727255
(('venusaur', 'arcanine'), ('move', 'sleeppowder')): -82.4644308243332
(('venusaur', 'arcanine'), ('switch', 'lapras')): -71.69395875105491
(('charizard', 'golbat'), ('switch', 'lapras')): -70.10933042817639
(('lapras', 'golbat'), ('move', 'psychic')): -98.20631190034854
(('pikachu', 'sandslash'), ('move', 'irontail')): -43.98536009495475
(('pikachu', 'sandslash'), ('switch', 'blastoise')): -38.24455780801555
(('snorlax', 'arbok'), ('switch', 'charizard')): -81.24713427797957
(('charizard', 'arbok'), ('switch', 'pikachu')): -82.57633898726525
(('blastoise', 'arbok'), ('move', 'blizzard')): -78.327557341946
(('venusaur', 'arbok'), ('switch', 'blastoise')): -84.43043538500055
(('venusaur', 'arbok'), ('move', 'recharge')): -90.38813053038065
(('venusaur', 'arbok'), ('switch', 'lapras')): -81.20590937505006
(('lapras', 'arbok'), ('move', 'brine')): -91.7065235333232
(('charizard', 'poliwrath'), ('switch', 'blastoise')): -58.62004020114689
(('blastoise', 'poliwrath'), ('move', 'flashcannon')): -73.55256727895991
(('blastoise', 'poliwrath'), ('switch', 'lapras')): -65.12555307820034
(('lapras', 'poliwrath'), ('move', 'brine')): -74.22381000423299
(('lapras', 'poliwrath'), ('move', 'psychic')): -58.89094573093735
(('lapras', 'arbok'), ('move', 'psychic')): -81.09657208446166
(('snorlax', 'arbok'), ('switch', 'blastoise')): -78.40053267709088
(('blastoise', 'arbok'), ('move', 'flashcannon')): -93.95981562827612
(('snorlax', 'poliwrath'), ('move', 'recharge')): -55.68031810884201
(('snorlax', 'poliwrath'), ('switch', 'blastoise')): -62.27243521137718
(('blastoise', 'poliwrath'), ('switch', 'pikachu')): -63.82851573710992
(('lapras', 'ninetales'), ('move', 'bodyslam')): -58.38587036512914
(('snorlax', 'ninetales'), ('switch', 'pikachu')): -55.38464912566124
(('pikachu', 'ninetales'), ('move', 'volttackle')): -58.201353427826085
(('pikachu', 'ninetales'), ('switch', 'charizard')): -41.44731212652686
(('charizard', 'nidoking'), ('move', 'recharge')): -68.72363453052647
(('charizard', 'nidoking'), ('switch', 'venusaur')): -38.54458645590916
(('venusaur', 'nidoking'), ('move', 'sleeppowder')): -51.9326817878377
(('venusaur', 'nidoking'), ('move', 'frenzyplant')): -54.86219866585715
(('venusaur', 'nidoking'), ('move', 'recharge')): -51.11668592574855
(('venusaur', 'arcanine'), ('move', 'recharge')): -109.09832182090584
(('venusaur', 'machamp'), ('move', 'frenzyplant')): -58.78695940867067
(('venusaur', 'machamp'), ('move', 'recharge')): -65.43408589924246
(('venusaur', 'machamp'), ('switch', 'charizard')): -47.40209642316137
(('charizard', 'arbok'), ('switch', 'lapras')): -81.76971076131763
(('blastoise', 'arbok'), ('switch', 'snorlax')): -92.91511251822604
(('lapras', 'arbok'), ('switch', 'charizard')): -79.68586651654599
(('charizard', 'sandslash'), ('switch', 'blastoise')): -51.006448379293104
(('lapras', 'sandslash'), ('switch', 'pikachu')): -62.93932231045783
(('snorlax', 'machamp'), ('move', 'crunch')): -71.95933206599933
(('snorlax', 'machamp'), ('switch', 'venusaur')): -48.29985994575442
(('venusaur', 'nidoking'), ('switch', 'lapras')): -58.892569685084375
(('venusaur', 'nidoking'), ('switch', 'charizard')): -54.38329643695676
(('venusaur', 'golem'), ('move', 'recharge')): -94.68122533646829
(('lapras', 'pidgeot'), ('switch', 'charizard')): -55.566758283007786
(('charizard', 'sandslash'), ('switch', 'venusaur')): -49.039571258219674
(('charizard', 'sandslash'), ('switch', 'pikachu')): -86.75512446442524
(('charizard', 'sandslash'), ('switch', 'snorlax')): -48.280820365280455
(('snorlax', 'sandslash'), ('move', 'crunch')): -59.88478522592832
(('snorlax', 'sandslash'), ('switch', 'charizard')): -33.77133468024412
(('charizard', 'nidoqueen'), ('move', 'flareblitz')): -56.67358525498633
(('charizard', 'golbat'), ('switch', 'blastoise')): -80.70912192173246
(('blastoise', 'golbat'), ('move', 'blizzard')): -97.51923945697065
(('blastoise', 'golbat'), ('switch', 'charizard')): -72.66530930652762
(('lapras', 'golem'), ('move', 'blizzard')): -66.05494500130722
(('lapras', 'golem'), ('switch', 'blastoise')): -59.41054736609959
(('blastoise', 'golbat'), ('move', 'recharge')): -94.4942687113657
(('snorlax', 'golbat'), ('move', 'gigaimpact')): -89.17466760297272
(('charizard', 'ninetales'), ('switch', 'pikachu')): -54.75581867667701
(('charizard', 'ninetales'), ('switch', 'blastoise')): -54.704961255326026
(('blastoise', 'ninetales'), ('switch', 'pikachu')): -52.474523583899675
(('charizard', 'machamp'), ('move', 'blastburn')): -69.60548966196362
(('venusaur', 'nidoking'), ('switch', 'pikachu')): -51.92352844663925
(('snorlax', 'golem'), ('move', 'recharge')): -97.85294757872057
(('snorlax', 'golem'), ('switch', 'venusaur')): -71.36741881458825
(('venusaur', 'alakazam'), ('move', 'sleeppowder')): -57.216187494930466
(('venusaur', 'alakazam'), ('move', 'frenzyplant')): -60.405465911582716
(('venusaur', 'alakazam'), ('move', 'recharge')): -42.98621921229275
(('charizard', 'machamp'), ('move', 'recharge')): -69.04282516755339
(('charizard', 'machamp'), ('switch', 'lapras')): -61.820745341059066
(('blastoise', 'machamp'), ('move', 'blizzard')): -69.62369478832575
(('blastoise', 'machamp'), ('switch', 'pikachu')): -68.86973765443028
(('pikachu', 'machamp'), ('move', 'irontail')): -69.45418846733888
(('pikachu', 'poliwrath'), ('switch', 'lapras')): -63.141263441979916
(('venusaur', 'golbat'), ('switch', 'blastoise')): -74.09311820521557
(('blastoise', 'golbat'), ('move', 'flashcannon')): -99.84874919024153
(('lapras', 'machamp'), ('switch', 'charizard')): -59.83484390550967
(('charizard', 'machamp'), ('move', 'dragonpulse')): -71.35445739412354
(('charizard', 'machamp'), ('switch', 'snorlax')): -68.54070892360795
(('pikachu', 'machamp'), ('switch', 'charizard')): -65.66603771670148
(('snorlax', 'machamp'), ('move', 'blizzard')): -72.02187392346987
(('charizard', 'arbok'), ('switch', 'blastoise')): -79.7347323364638
(('snorlax', 'nidoking'), ('switch', 'venusaur')): -45.40531319830834
(('venusaur', 'nidoking'), ('switch', 'snorlax')): -50.93097148102772
(('venusaur', 'golbat'), ('move', 'recharge')): -113.78057364183881
(('pikachu', 'golbat'), ('switch', 'lapras')): -66.2893519538335
(('lapras', 'golbat'), ('move', 'bodyslam')): -89.72748968870748
(('lapras', 'golbat'), ('switch', 'charizard')): -65.75415618499503
